Geneid,transcript_id,transcript_symbol,gene_symbol,rGAL4_lnRi_0.7_1,rGAL4_lnRi_0.7_2,rGAL4_lnRi_0.7_3,log2FoldChange,padj,DA
FBgn0000108,FBtr0307295;FBtr0307294;FBtr0307293;FBtr0307292;FBtr0070109;FBtr0307291;FBtr0307295;FBtr0307294;FBtr0307293;FBtr0307292;FBtr0307291;FBtr0070109;FBtr0307295;FBtr0307294;FBtr0307293;FBtr0307291;FBtr0070109;FBtr0307295;FBtr0307294;FBtr0307293;FBtr0307292;FBtr0307291;FBtr0070109;FBtr0307295;FBtr0307293;FBtr0307294;FBtr0307292;FBtr0307291;FBtr0070109;FBtr0307295;FBtr0307294;FBtr0307293;FBtr0307292;FBtr0307291;FBtr0070109;FBtr0307295;FBtr0307293;FBtr0307294;FBtr0307292;FBtr0307291;FBtr0070109;FBtr0307295;FBtr0307294;FBtr0307292;FBtr0307291;FBtr0070109;FBtr0307293;FBtr0307295;FBtr0307294;FBtr0307293;FBtr0307292;FBtr0307291;FBtr0070109;FBtr0307295;FBtr0307294;FBtr0307293;FBtr0307292;FBtr0070109;FBtr0307291;FBtr0307295;FBtr0307294;FBtr0307293;FBtr0307292;FBtr0307291;FBtr0070109;FBtr0307295;FBtr0307294;FBtr0307293;FBtr0307292;FBtr0307291;FBtr0070109,Appl-RF;Appl-RE;Appl-RD;Appl-RC;Appl-RA;Appl-RB;Appl-RF;Appl-RE;Appl-RD;Appl-RC;Appl-RB;Appl-RA;Appl-RF;Appl-RE;Appl-RD;Appl-RB;Appl-RA;Appl-RF;Appl-RE;Appl-RD;Appl-RC;Appl-RB;Appl-RA;Appl-RF;Appl-RD;Appl-RE;Appl-RC;Appl-RB;Appl-RA;Appl-RF;Appl-RE;Appl-RD;Appl-RC;Appl-RB;Appl-RA;Appl-RF;Appl-RD;Appl-RE;Appl-RC;Appl-RB;Appl-RA;Appl-RF;Appl-RE;Appl-RC;Appl-RB;Appl-RA;Appl-RD;Appl-RF;Appl-RE;Appl-RD;Appl-RC;Appl-RB;Appl-RA;Appl-RF;Appl-RE;Appl-RD;Appl-RC;Appl-RA;Appl-RB;Appl-RF;Appl-RE;Appl-RD;Appl-RC;Appl-RB;Appl-RA;Appl-RF;Appl-RE;Appl-RD;Appl-RC;Appl-RB;Appl-RA,Appl,88,29,57,-0.408683162,0.519201591,0
FBgn0032814,FBtr0081259,CG10366-RA,CG10366,53,28,25,-0.419220247,0.519201591,0
FBgn0037918,FBtr0082459;FBtr0082458;FBtr0082459;FBtr0082459;FBtr0082458;FBtr0082459;FBtr0082458,CG6791-RA;CG6791-RB;CG6791-RA;CG6791-RA;CG6791-RB;CG6791-RA;CG6791-RB,CG6791,163,131,133,-0.286226342,0.519201591,0
FBgn0037912,FBtr0100464;FBtr0100465;FBtr0100461;FBtr0100462;FBtr0100465;FBtr0100464;FBtr0100461;FBtr0100462;FBtr0100462;FBtr0100465;FBtr0100461;FBtr0100464;FBtr0100464,sea-RD;sea-RE;sea-RA;sea-RC;sea-RE;sea-RD;sea-RA;sea-RC;sea-RC;sea-RE;sea-RA;sea-RD;sea-RD,sea,31,9,8,-0.609133182,0.519201591,0
FBgn0030693,FBtr0074189;FBtr0074188;FBtr0074186;FBtr0074187;FBtr0074185;FBtr0074189;FBtr0074188;FBtr0074187;FBtr0074186;FBtr0074185;FBtr0074189;FBtr0074187;FBtr0074188;FBtr0074185;FBtr0074186;FBtr0074185;FBtr0074185;FBtr0074186;FBtr0074187;FBtr0074185;FBtr0074189;FBtr0074188,sordd1-RE;sordd1-RD;sordd1-RA;sordd1-RB;sordd1-RC;sordd1-RE;sordd1-RD;sordd1-RB;sordd1-RA;sordd1-RC;sordd1-RE;sordd1-RB;sordd1-RD;sordd1-RC;sordd1-RA;sordd1-RC;sordd1-RC;sordd1-RA;sordd1-RB;sordd1-RC;sordd1-RE;sordd1-RD,sordd1,182,130,91,0.312640633,0.519201591,0
FBgn0260243,FBtr0082012,E(var)3-9-RA,E(var)3-9,100,53,51,-0.33765262,0.519820266,0
FBgn0283477,FBtr0304727;FBtr0083272;FBtr0304727;FBtr0083272;FBtr0304727;FBtr0083272;FBtr0083272;FBtr0304727,SF2-RB;SF2-RA;SF2-RB;SF2-RA;SF2-RB;SF2-RA;SF2-RA;SF2-RB,SF2,347,240,195,-0.238446127,0.519820266,0
FBgn0289122,FBtr0083771,Ino80-RA,Ino80,69,44,49,-0.36892788,0.519820266,0
FBgn0033996,FBtr0310140;FBtr0310139;FBtr0310139;FBtr0310140;FBtr0087363;FBtr0310139;FBtr0310140;FBtr0087363;FBtr0310139;FBtr0310140;FBtr0087363;FBtr0310139;FBtr0310140;FBtr0087363;FBtr0310140,CG11807-RC;CG11807-RB;CG11807-RB;CG11807-RC;CG11807-RA;CG11807-RB;CG11807-RC;CG11807-RA;CG11807-RB;CG11807-RC;CG11807-RA;CG11807-RB;CG11807-RC;CG11807-RA;CG11807-RC,CG11807,137,122,50,0.367537168,0.519999686,0
FBgn0011725,FBtr0084568;FBtr0084570;FBtr0084571;FBtr0084569;FBtr0084566;FBtr0084567;FBtr0084571;FBtr0084570;FBtr0084569;FBtr0084567;FBtr0084568;FBtr0084566;FBtr0084571;FBtr0084569;FBtr0084570;FBtr0084568;FBtr0084567;FBtr0084566;FBtr0084570;FBtr0084571;FBtr0084569;FBtr0084568;FBtr0084567;FBtr0084566;FBtr0084571;FBtr0084569;FBtr0084568;FBtr0084566;FBtr0084567;FBtr0084571;FBtr0084569;FBtr0084568;FBtr0084567;FBtr0084566;FBtr0084571;FBtr0084569;FBtr0084568;FBtr0084566;FBtr0084569;FBtr0084568;FBtr0084567;FBtr0084566;FBtr0084571,twin-RE;twin-RD;twin-RF;twin-RC;twin-RA;twin-RB;twin-RF;twin-RD;twin-RC;twin-RB;twin-RE;twin-RA;twin-RF;twin-RC;twin-RD;twin-RE;twin-RB;twin-RA;twin-RD;twin-RF;twin-RC;twin-RE;twin-RB;twin-RA;twin-RF;twin-RC;twin-RE;twin-RA;twin-RB;twin-RF;twin-RC;twin-RE;twin-RB;twin-RA;twin-RF;twin-RC;twin-RE;twin-RA;twin-RC;twin-RE;twin-RB;twin-RA;twin-RF,twin,258,199,160,0.269365592,0.520207701,0
